Date,Open,High,Low,Close,Volume,Adj Close
2016-09-08,16.00,16.00,15.00,15.60,390800,15.3689
2016-09-07,15.80,16.00,15.56,15.65,953700,15.4181
2016-09-06,15.50,16.00,15.46,15.71,167800,15.4773
2016-09-05,16.30,16.30,15.00,15.56,671300,15.3295
2016-09-02,16.50,17.00,16.20,16.38,12300,16.1373
2016-09-01,16.10,16.72,16.10,16.30,34500,16.0585
2016-08-31,16.21,16.74,15.50,16.00,14300,15.763
2016-08-30,17.00,17.25,16.80,17.00,104500,16.0093
2016-08-29,17.00,17.44,16.67,16.83,52000,15.8492
2016-08-26,17.50,17.50,16.50,17.00,88000,16.0093
2016-08-25,18.70,18.93,17.60,17.84,70000,16.8003
2016-08-24,17.85,18.00,17.50,17.84,17600,16.8003
2016-08-23,17.22,18.40,17.22,17.71,89400,16.6779
2016-08-22,17.88,18.74,17.01,17.55,43100,16.5272
2016-08-19,16.66,17.70,16.50,17.10,223900,16.1034
2016-08-18,16.93,16.95,16.46,16.95,26500,15.9622
2016-08-17,16.96,16.96,16.44,16.81,360700,15.8303
2016-08-16,16.90,16.99,16.31,16.38,1134400,15.4254
2016-08-15,17.16,17.16,16.30,16.83,44700,15.8492
2016-08-12,17.37,17.38,17.20,17.32,17400,16.3106
2016-08-11,17.25,17.69,17.25,17.38,8800,16.3671
2016-08-10,18.05,18.05,17.01,17.75,165300,16.7156
2016-08-09,17.73,17.73,17.73,17.73,000,16.6967
2016-08-08,18.00,18.00,17.73,17.73,29000,16.6967
2016-08-05,18.49,18.49,17.76,17.76,19100,16.725
2016-08-04,18.75,18.75,18.35,18.50,256100,17.4218
2016-08-03,18.48,18.48,18.48,18.48,000,17.403
2016-08-02,18.49,18.50,18.30,18.48,300800,17.403
2016-08-01,18.48,18.50,18.35,18.48,163800,17.403
2016-07-29,18.00,18.19,17.75,18.01,255000,16.9604
2016-07-28,18.60,18.75,17.01,17.88,272200,16.838
2016-07-27,18.60,18.75,18.60,18.60,49700,17.516
2016-07-26,18.61,19.00,18.60,18.60,65300,17.516
2016-07-25,19.00,19.00,18.55,18.76,22100,17.6667
2016-07-22,19.00,19.01,18.90,19.00,21500,17.8927
2016-07-21,18.40,19.97,18.40,19.97,10600,18.8062
2016-07-20,18.75,19.97,18.10,18.40,60300,17.3277
2016-07-19,19.49,19.49,18.61,18.75,95100,17.6573
2016-07-18,19.49,19.99,19.27,19.49,36300,18.3541
2016-07-15,19.98,19.98,18.94,19.48,17700,18.3447
2016-07-14,19.50,20.54,18.13,20.00,55200,18.8344
2016-07-13,19.40,19.50,18.00,18.58,28700,17.4972
2016-07-12,19.65,20.00,19.50,19.53,60700,18.3918
2016-07-11,20.05,20.95,19.80,19.90,74100,18.7403
2016-07-08,18.91,20.65,18.91,19.85,40100,18.6932
2016-07-07,20.23,21.00,19.00,19.50,42000,18.3636
2016-07-06,20.00,20.55,19.02,20.23,267100,19.051
2016-07-05,18.51,20.65,18.51,20.54,74700,19.343
2016-07-04,18.60,19.05,18.60,19.03,102300,17.921
